relative_path,folder,top_level_folder,filename,file_size_bytes,sha256,parse_status,parse_error,file_format,dwg_version,title,subject,author,last_saved_by,company,object_count,entity_count,xdata_entity_count,registered_appids,plant_appid_present,native_plant_object_count,relationship_record_count,relationship_fields,relationship_storage,external_file_references,companion_files,connectivity_assessment
Reference/CHEM_PID/PCSG028666.03_Surface_size_preparation/PCSG028666.03_Surface_size_preparation.dwg,Reference/CHEM_PID/PCSG028666.03_Surface_size_preparation,CHEM_PID,PCSG028666.03_Surface_size_preparation.dwg,461605,7b29ed3f8e640a924de5f2171fd8b4602ac4913289ff66ec10089d90b7542e84,ok,,AC1032,33,,,,jani.linden,,8529,7928,633,AcPp3d|GENIUS_GEFCFG0_13|GENIUS_GEGCFG0_13|GENIUS_GENBH_13|GENIUS_GENBLKED_14|GENIUS_GENCFG0_13|GENIUS_GENCFG1_13|GENIUS_GENCFG2_13|GENIUS_GENCFG3_13|GENIUS_GENCFG4_13|GENIUS_GENCFG_13|GENIUS_GENDIMSH_14|GENIUS_GENDIM_13|GENIUS_GENDTOL_13|GENIUS_GENHATCH_13|GENIUS_GENOBJ-F-SCPASSM_13|GENIUS_GENOBJ-N-DIM_13|GENIUS_GENOBJ-N-HTC_13|GENIUS_GENOBJ-N-REC_13|GENIUS_GENOBJ-N-RSSYM_13|GENIUS_GENOBJ-N-SDF_13|GENIUS_GENOBJ-N-TIT_13|GENIUS_GENOBJ-NBEHI-BHB_13|GENIUS_GENOBJ-NBEHI-BHF_13|GENIUS_GENODEF_13|GENIUS_GENOENT_13|GENIUS_GENOLIS_13|GENIUS_GENOREF_13|GENIUS_GENREC_14|GENIUS_GENSCREG_15|GENIUS_GENSCSYM_13|GENIUS_GENSYMENT_13|GENIUS_GENTITLE_13|GENIUS_GENZVEED_13|GENIUS_GEVCFG0_13|GENIUS_VERSION2|PCAD-ELPOS-INFO|PCAD-ELPOS-INFO_|PCAD-POS-HEIGHT|PCAD-POS-INFO|PCAD-POS-INFO_|PCAD-SPELLING|PCAD-TAKY-INFO|PCAD-TAKY2-INFO|PCAD_1|PCAD_B|PCAD_HATCH|PCAD_HLIGHT|PCAD_INSTR_LINEB|PCAD_MLINES|PCAD_POS2_INFO|PCAD_POS2_INFO_|PCAD_REF|PCAD_SYM_BH|PCAD_VISIBILITY,TRUE,0,94,LIN_FROM|LIN_TO,DWG extended entity data (EED),ROMANS.SHX|amgdt.shx,PCSG028666.03_Surface_size_preparation.pdf,embedded named endpoints; reconstruct from LIN_FROM and LIN_TO
Reference/CHEM_PID/PCSG028670.03_CPAM/PCSG028670.03_CPAM.dwg,Reference/CHEM_PID/PCSG028670.03_CPAM,CHEM_PID,PCSG028670.03_CPAM.dwg,289622,1cb721d0d55faf34cd27827885d6307e7f1f9fbf7d6938ed69eda5ca0f2037ed,ok,,AC1032,33,,,,nina.niittykumpu,,4126,3593,351,AcPp3d|PCAD-ELPOS-INFO|PCAD-ELPOS-INFO_|PCAD-POS-HEIGHT|PCAD-POS-INFO|PCAD-POS-INFO_|PCAD-SPELLING|PCAD-TAKY-INFO|PCAD-TAKY2-INFO|PCAD_1|PCAD_B|PCAD_HATCH|PCAD_HLIGHT|PCAD_INSTR_LINEB|PCAD_MLINES|PCAD_POS2_INFO|PCAD_POS2_INFO_|PCAD_REF|PCAD_SYM_BH|PCAD_VISIBILITY,TRUE,0,40,LIN_FROM|LIN_TO,DWG extended entity data (EED),ROMANS.SHX|amgdt.shx,PCSG028670.03_CPAM.pdf,embedded named endpoints; reconstruct from LIN_FROM and LIN_TO
Reference/CHEM_PID/PCSG028671.02_Bentonite/PCSG028671.02_Bentonite.dwg,Reference/CHEM_PID/PCSG028671.02_Bentonite,CHEM_PID,PCSG028671.02_Bentonite.dwg,327785,c5cc0e49d1b37c485d447d5d5854d1f563e880b0aef7a5a23e66eca7d83a34b9,ok,,AC1032,33,,,,kai.kuoppa,,4968,4470,480,AcPp3d|GENIUS_GENOBJ-N-REC_13|GENIUS_GENODEF_13|GENIUS_GENREC_14|PCAD-ELPOS-INFO|PCAD-ELPOS-INFO_|PCAD-POS-HEIGHT|PCAD-POS-INFO|PCAD-POS-INFO_|PCAD-SPELLING|PCAD-TAKY-INFO|PCAD-TAKY2-INFO|PCAD_1|PCAD_B|PCAD_HLIGHT|PCAD_INSTR_LINEB|PCAD_MLINES|PCAD_POS2_INFO|PCAD_POS2_INFO_|PCAD_REF|PCAD_RUBBISH|PCAD_SYM_BH|PCAD_VISIBILITY,TRUE,0,55,LIN_FROM|LIN_TO,DWG extended entity data (EED),romans.shx,PCSG028671.02_Bentonite.pdf,embedded named endpoints; reconstruct from LIN_FROM and LIN_TO
Reference/CHEM_PID/PCSG028672.02_Dye_brown/PCSG028672.02_Dye_brown.dwg,Reference/CHEM_PID/PCSG028672.02_Dye_brown,CHEM_PID,PCSG028672.02_Dye_brown.dwg,222344,c4c952434e2967482e43794d2c2489f70934ab80b483a71575902ce3497a172c,ok,,AC1032,33,,,,kai.kuoppa,,2733,2298,253,AcPp3d|PCAD-ELPOS-INFO|PCAD-POS-HEIGHT|PCAD-POS-INFO|PCAD-POS-INFO_|PCAD-SPELLING|PCAD-TAKY-INFO|PCAD-TAKY2-INFO|PCAD_1|PCAD_B|PCAD_HLIGHT|PCAD_POS2_INFO|PCAD_POS2_INFO_|PCAD_REF|PCAD_SYM_BH|PCAD_VISIBILITY,TRUE,0,22,LIN_FROM|LIN_TO,DWG extended entity data (EED),romans.shx,PCSG028672.02_Dye_brown.pdf,embedded named endpoints; reconstruct from LIN_FROM and LIN_TO
Reference/CHEM_PID/PCSG028673.02_Defoamer/PCSG028673.02_Defoamer.dwg,Reference/CHEM_PID/PCSG028673.02_Defoamer,CHEM_PID,PCSG028673.02_Defoamer.dwg,212481,58569161aea1bdb3a876ee6de4153d02467c8df55cf37a47ecf289cf7f5d0cf7,ok,,AC1032,33,,,,kai.kuoppa,,2404,1974,228,AcPp3d|PCAD-ELPOS-INFO|PCAD-POS-HEIGHT|PCAD-POS-INFO|PCAD-POS-INFO_|PCAD-SPELLING|PCAD-TAKY-INFO|PCAD-TAKY2-INFO|PCAD_1|PCAD_B|PCAD_HLIGHT|PCAD_POS2_INFO|PCAD_POS2_INFO_|PCAD_REF|PCAD_SYM_BH|PCAD_VISIBILITY,TRUE,0,20,LIN_FROM|LIN_TO,DWG extended entity data (EED),romans.shx,PCSG028673.02_Defoamer.pdf,embedded named endpoints; reconstruct from LIN_FROM and LIN_TO
Reference/OCC_PID/STOD206340.10 OCC Pulping line 1/STOD206340.10 OCC Pulping line 1.dwg,Reference/OCC_PID/STOD206340.10 OCC Pulping line 1,OCC_PID,STOD206340.10 OCC Pulping line 1.dwg,343176,9a5547c5257ed39d9f4b732f59e9c4108f6671244afbf8087f1a8a0b2eedb42a,ok,,AC1032,33,,,,nina.niittykumpu,,5410,4739,1659,AcPp3d|GENIUS_GENCEN_19|GENIUS_GENOBJ-N-CEN_13|GENIUS_GENOBJ-N-FIL_13|GENIUS_GENOBJ-N-REC_13|GENIUS_GENOBJ-N-SDF_13|GENIUS_GENODEF_13|GENIUS_GENREC_14|GENIUS_GENSCREG_15|GENIUS_VERSION2|PCAD-BRANCH|PCAD-ELPOS-INFO|PCAD-ELPOS-INFO_|PCAD-POS-HEIGHT|PCAD-POS-INFO|PCAD-POS-INFO_|PCAD-SPELLING|PCAD-TAKY-INFO|PCAD-TAKY2-INFO|PCAD_1|PCAD_2|PCAD_ARROWS|PCAD_B|PCAD_BRANCHES|PCAD_BRK|PCAD_FROM|PCAD_HATCH|PCAD_HLIGHT|PCAD_INSTR_LINEB|PCAD_MASTER|PCAD_MLINES|PCAD_POS2_INFO|PCAD_POS2_INFO_|PCAD_REF|PCAD_RUBBISH|PCAD_SYM_BH|PCAD_TO|PCAD_VISIBILITY,TRUE,0,72,LIN_FROM|LIN_TO,DWG extended entity data (EED),ARIALN.TTF,STOD206340.10 OCC Pulping line 1.pdf,embedded named endpoints; reconstruct from LIN_FROM and LIN_TO
Reference/OCC_PID/STOD206341.10 OCC Pulping line 2/STOD206341.10 OCC Pulping line 2.dwg,Reference/OCC_PID/STOD206341.10 OCC Pulping line 2,OCC_PID,STOD206341.10 OCC Pulping line 2.dwg,350702,e71b7dd48149873cd702bf3ecfa33309c3aeb786ba3f4d311136f81bc0435436,ok,,AC1032,33,,,,nina.niittykumpu,,5464,4780,1671,AcPp3d|GENIUS_GENCEN_19|GENIUS_GENOBJ-N-CEN_13|GENIUS_GENOBJ-N-FIL_13|GENIUS_GENOBJ-N-REC_13|GENIUS_GENOBJ-N-SDF_13|GENIUS_GENODEF_13|GENIUS_GENREC_14|GENIUS_GENSCREG_15|GENIUS_VERSION2|PCAD-BRANCH|PCAD-ELPOS-INFO|PCAD-ELPOS-INFO_|PCAD-POS-HEIGHT|PCAD-POS-INFO|PCAD-POS-INFO_|PCAD-SPELLING|PCAD-TAKY-INFO|PCAD-TAKY2-INFO|PCAD_1|PCAD_2|PCAD_ARROWS|PCAD_B|PCAD_BRANCHES|PCAD_BRK|PCAD_FROM|PCAD_HATCH|PCAD_HLIGHT|PCAD_INSTR_LINEB|PCAD_MASTER|PCAD_MLINES|PCAD_POS2_INFO|PCAD_POS2_INFO_|PCAD_REF|PCAD_RUBBISH|PCAD_SYM_BH|PCAD_TO|PCAD_VISIBILITY,TRUE,0,74,LIN_FROM|LIN_TO,DWG extended entity data (EED),arial.ttf,STOD206341.10 OCC Pulping line 2.pdf,embedded named endpoints; reconstruct from LIN_FROM and LIN_TO
Reference/OCC_PID/STOD206342.10 OCC cleaning and fractionation (1)/STOD206342.10 OCC cleaning and fractionation.dwg,Reference/OCC_PID/STOD206342.10 OCC cleaning and fractionation (1),OCC_PID,STOD206342.10 OCC cleaning and fractionation.dwg,947536,9d76288f129ada6613e91a9a7ed4513e69d5a9ec411070a09f1db219878ce7b1,ok,,AC1032,33,,,,nina.niittykumpu,,12771,11505,6436,AcPp3d|GENIUS_GEFCFG0_13|GENIUS_GEGCFG0_13|GENIUS_GENBH_13|GENIUS_GENBLKED_14|GENIUS_GENCEN_19|GENIUS_GENCFG0_13|GENIUS_GENCFG1_13|GENIUS_GENCFG2_13|GENIUS_GENCFG3_13|GENIUS_GENCFG4_13|GENIUS_GENCFG_13|GENIUS_GENDIMSH_14|GENIUS_GENDIM_13|GENIUS_GENDTOL_13|GENIUS_GENHATCH_13|GENIUS_GENOBJ-F-SCPASSM_13|GENIUS_GENOBJ-N-CEN_13|GENIUS_GENOBJ-N-DIM_13|GENIUS_GENOBJ-N-HTC_13|GENIUS_GENOBJ-N-REC_13|GENIUS_GENOBJ-N-RSSYM_13|GENIUS_GENOBJ-N-SDF_13|GENIUS_GENOBJ-N-TIT_13|GENIUS_GENOBJ-NBEHI-BHB_13|GENIUS_GENOBJ-NBEHI-BHF_13|GENIUS_GENODEF_13|GENIUS_GENOENT_13|GENIUS_GENOLIS_13|GENIUS_GENOREF_13|GENIUS_GENREC_14|GENIUS_GENSCREG_15|GENIUS_GENSCSYM_13|GENIUS_GENSYMENT_13|GENIUS_GENTITLE_13|GENIUS_GENZVEED_13|GENIUS_GEVCFG0_13|GENIUS_VERSION2|PCAD-BRANCH|PCAD-ELPOS-INFO|PCAD-ELPOS-INFO_|PCAD-POS-HEIGHT|PCAD-POS-INFO|PCAD-POS-INFO_|PCAD-SPELLING|PCAD-TAKY-INFO|PCAD-TAKY2-INFO|PCAD_1|PCAD_2|PCAD_AGITATORS|PCAD_ARROWS|PCAD_B|PCAD_BRANCHES|PCAD_BRK|PCAD_FROM|PCAD_HATCH|PCAD_HLIGHT|PCAD_INSTR_LINEB|PCAD_MASTER|PCAD_MLINES|PCAD_POS2_INFO|PCAD_POS2_INFO_|PCAD_REF|PCAD_RUBBISH|PCAD_SYM_BH|PCAD_TO|PCAD_VISIBILITY,TRUE,0,252,LIN_FROM|LIN_TO,DWG extended entity data (EED),arial.ttf,STOD206342.10 OCC cleaning and fractionation.pdf,embedded named endpoints; reconstruct from LIN_FROM and LIN_TO
Reference/OCC_PID/STOD206343.10 OCC Thickening/STOD206343.10 OCC Thickening.dwg,Reference/OCC_PID/STOD206343.10 OCC Thickening,OCC_PID,STOD206343.10 OCC Thickening.dwg,773097,6a79fd769fc063857576203729f0b87a156ee9fb7b53bb26afc71e10c087023e,ok,,AC1032,33,,,,nina.niittykumpu,,12405,11146,5890,AcPp3d|GENIUS_GENOBJ-N-FIL_13|GENIUS_GENOBJ-N-REC_13|GENIUS_GENOBJ-N-SDF_13|GENIUS_GENODEF_13|GENIUS_GENREC_14|GENIUS_GENSCREG_15|GENIUS_GENTRA_14|GENIUS_VERSION2|PCAD-BRANCH|PCAD-ELPOS-INFO|PCAD-ELPOS-INFO_|PCAD-POS-HEIGHT|PCAD-POS-INFO|PCAD-POS-INFO_|PCAD-SPELLING|PCAD-TAKY-INFO|PCAD-TAKY2-INFO|PCAD_1|PCAD_2|PCAD_AGITATORS|PCAD_ALMA1|PCAD_ARROWS|PCAD_B|PCAD_BRANCHES|PCAD_BRK|PCAD_FROM|PCAD_HATCH|PCAD_HLIGHT|PCAD_INSTR_LINEB|PCAD_MASTER|PCAD_MLINES|PCAD_POS2_INFO|PCAD_POS2_INFO_|PCAD_REF|PCAD_RUBBISH|PCAD_SYM_BH|PCAD_TO|PCAD_VISIBILITY,TRUE,0,258,LIN_FROM|LIN_TO,DWG extended entity data (EED),ARIALN.TTF,STOD206343.10 OCC Thickening.pdf,embedded named endpoints; reconstruct from LIN_FROM and LIN_TO
Reference/OCC_PID/STOD206344.13_OCC Reject handling/STOD206344.13_OCC Reject handling.dwg,Reference/OCC_PID/STOD206344.13_OCC Reject handling,OCC_PID,STOD206344.13_OCC Reject handling.dwg,585268,096100d2563dae7a52592128769b73e70c5a08b703d23b9474f1bb963e586741,ok,,AC1032,33,,,,jani.linden,,8760,7563,3965,AcPp3d|GENIUS_FIRSTVISTXT_14|GENIUS_GEFDESC_14|GENIUS_GEFFEAT_14|GENIUS_GEFPARTINS_13|GENIUS_GEFSTDP_13|GENIUS_GENBH_13|GENIUS_GENHINW_13|GENIUS_GENOBJ-F-DESC_13|GENIUS_GENOBJ-F-FEAT_13|GENIUS_GENOBJ-F-PART_13|GENIUS_GENOBJ-N-CEN_13|GENIUS_GENOBJ-N-CRS_13|GENIUS_GENOBJ-N-FIL_13|GENIUS_GENOBJ-N-REC_13|GENIUS_GENOBJ-NBEHI-BHF_13|GENIUS_GENODEF_13|GENIUS_GENOENT_13|GENIUS_GENOLIS_13|GENIUS_GENOREF_13|GENIUS_GENREC_14|PCAD-ELPOS-INFO|PCAD-ELPOS-INFO_|PCAD-POS-HEIGHT|PCAD-POS-INFO|PCAD-POS-INFO_|PCAD-SPELLING|PCAD-TAKY-INFO|PCAD-TAKY2-INFO|PCAD_1|PCAD_2|PCAD_A|PCAD_AGITATORS|PCAD_ARROWS|PCAD_B|PCAD_BRK|PCAD_B_|PCAD_FROM|PCAD_HATCH|PCAD_HLIGHT|PCAD_INSTR_LINEB|PCAD_MASTER|PCAD_MLINES|PCAD_POS2_INFO|PCAD_POS2_INFO_|PCAD_REF|PCAD_RUBBISH|PCAD_SYM_BH|PCAD_TO|PCAD_VISIBILITY,TRUE,0,140,LIN_FROM|LIN_TO,DWG extended entity data (EED),ARIALN.TTF,STOD206344.13_OCC Reject handling.pdf,embedded named endpoints; reconstruct from LIN_FROM and LIN_TO
