ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L009,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-192,,35-24-192
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,35-24-193
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,35-24-191
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-190,,35-24-190
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-189,,35-24-189
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24LV2-674,35-24LV2-674
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24LV1-674,35-24LV1-674
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24NV-675,35-24NV-675
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24HV-676,35-24HV-676
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24KV-677,35-24KV-677
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24XS-681,35-24XS-681
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24XS-665,35-24XS-665
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L009.1,,35-24L009.1
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L009.2,,35-24L009.2
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-009.2,,35-24-009.2
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-220,,35-24-220
