ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L009,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L009,,35-24L009-35-24L009
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-220,,35-24L009-35-24-220
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-186,,35-24L009-35-24-186
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-186-WAF-100-E10H2A,,35-24L009-35-24-186-WAF-100-E1
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-187,,35-24L009-35-24-187
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-187-WAF-100-E10H2A,,35-24L009-35-24-187-WAF-100-E1
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-188,,35-24L009-35-24-188
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-188-WAF-80-E10H2A,,35-24L009-35-24-188-WAF-80-E10
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-189,,35-24L009-35-24-189
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-189-PP-300-E10H2A,,35-24L009-35-24-189-PP-300-E10
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-190,,35-24L009-35-24-190
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-190-PP-200-E10H2A,,35-24L009-35-24-190-PP-200-E10
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,35-24L009-35-24-191
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191-PP-250-E10H2A,,35-24L009-35-24-191-PP-250-E10
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-192,,35-24L009-35-24-192
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-192-PP-200-E10H2A,,35-24L009-35-24-192-PP-200-E10
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,35-24L009-35-24-193
21,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193-PP-100-E10H2A,,35-24L009-35-24-193-PP-100-E10
22,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-197,,35-24L009-35-24-197
23,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-009.1,,35-24L009-35-24-009.1
24,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-204,,35-24L009-35-24-204
25,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-204-PP-100-E10H2A,,35-24L009-35-24-204-PP-100-E10
26,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
27,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
28,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24P519,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
29,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P519,,35-24P519-35-24P519
30,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV1-674,,150
31,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV2-674,,80
32,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-192-PP-200-E10H2A,,35-24P519-35-24-192-PP-200-E10
33,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193-PP-100-E10H2A,,35-24P519-35-24-193-PP-100-E10
34,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191-PP-250-E10H2A,,35-24P519-35-24-191-PP-250-E10
35,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-198,,003-50
36,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-199,,003-15
37,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-221,,003-50
38,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-197,,001-80
