SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK
,,,,SHOTTONPM3-BROKESYSTEM
BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
BR1,35-24L009,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
,,35-24L009,,BROKE ROLL PULPER
,,,35-24-220,DISCHARGE VALVE
,,,35-24-188-WAF-80-E10H2A,INLET FILTER
,,,35-24-189-PP-300-E10H2A,DISCHARGE PUMP
,,,35-24-186-WAF-100-E10H2A,INLET STRAINER
,,,35-24-187-WAF-100-E10H2A,OUTLET STRAINER
,,,,SHOTTONPM3-BROKESYSTEM
BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
BR1,35-24P519,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
,,35-24LV1-674,,150
,,35-24LV2-674,,80
,,35-24-198,,35-24P519-35-24-198
,,35-24-199,,35-24P519-35-24-199
,,35-24-191,,35-24P519-35-24-191
,,,35-24-191-PP-250-E10H2A,35-24P519-35-24-191-35-24-191-
,,35-24-193,,35-24P519-35-24-193
,,,35-24-193-PP-100-E10H2A,35-24P519-35-24-193-35-24-193-
,,35-24-221,,35-24P519-35-24-221
,,35-24-220,,141 BDTPD
,,35-24L009,,35-24P519-35-24L009
,,35-24-009.1,,160 | 1500
