ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L009,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L009,,35-24L009-35-24L009
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24XS-692,,35-24L009-35-24XS-692
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24ES-683,,35-24L009-35-24ES-683
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24KJ-684,,35-24L009-35-24KJ-684
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24KJ-685,,35-24L009-35-24KJ-685
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24HS-682,,35-24L009-35-24HS-682
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24HI-676,,35-24L009-35-24HI-676
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LC-674,,35-24L009-35-24LC-674
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV1-674,,35-24L009-35-24LV1-674
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV2-674,,35-24L009-35-24LV2-674
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24XV-681,,35-24L009-35-24XV-681
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-220,,001-100
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,003-15
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-193-PP-100-E10H2A,35-24L009-35-24-193-PP-100-E10
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-198,,003-50
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-221,,003-50
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-196,,355-250
21,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,35-24L009-35-24-191
22,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-191-PP-250-E10H2A,35-24L009-35-24-191-PP-250-E10
23,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
24,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
25,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24P519,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
26,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P519,,35-24P519-35-24P519
27,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193-PP-100-E10H2A,,35-24P519-35-24-193-PP-100-E10
28,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV1-674,,35-24P519-35-24LV1-674
29,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV2-674,,35-24P519-35-24LV2-674
30,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LC-674,,35-24P519-35-24LC-674
31,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-198,,003-50
32,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-199,,003-15
33,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-197,,001-80
34,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-221,,003-50
35,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191-PP-250-E10H2A,,35-24P519-35-24-191-PP-250-E10
