ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L009,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-220,,35-24L009-35-24-220
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,001-100,35-24L009-001-100
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-192,,35-24L009-35-24-192
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-192-PP-200-E10H2A,35-24L009-35-24-192-PP-200-E10
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,35-24L009-35-24-193
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-193-PP-100-E10H2A,35-24L009-35-24-193-PP-100-E10
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-189,,35-24L009-35-24-189
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-189-PP-300-E10H2A,35-24L009-35-24-189-PP-300-E10
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-190,,35-24L009-35-24-190
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-190-PP-200-E10H2A,35-24L009-35-24-190-PP-200-E10
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,35-24L009-35-24-191
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-191-PP-250-E10H2A,35-24L009-35-24-191-PP-250-E10
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-198,,35-24L009-35-24-198
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,003-50,35-24L009-003-50
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-221,,35-24L009-35-24-221
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,003-50,35-24L009-003-50
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV1-674,,35-24L009-35-24LV1-674
21,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV2-674,,35-24L009-35-24LV2-674
22,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
23,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
24,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24P519,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
25,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P519,,35-24P519-35-24P519
26,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-193,35-24P519-35-24-193
27,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-193-PP-100-E10H2A,35-24P519-35-24-193-PP-100-E10
28,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-197,35-24P519-35-24-197
29,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-198,35-24P519-35-24-198
30,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-199,35-24P519-35-24-199
31,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-221,35-24P519-35-24-221
