ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L009,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-009.1,,35-24L009-35-24-009.1
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24XS-692,,35-24L009-35-24XS-692
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LC-674,,35-24L009-35-24LC-674
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV1-674,,35-24L009-35-24LV1-674
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV2-674,,35-24L009-35-24LV2-674
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-220,,35-24L009-35-24-220
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,35-24L009-35-24-193
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-199,35-24L009-35-24-199
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-221,35-24L009-35-24-221
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,35-24L009-35-24-191
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-196,35-24L009-35-24-196
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-197,35-24L009-35-24-197
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-192,,35-24L009-35-24-192
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-198,35-24L009-35-24-198
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-189,,35-24L009-35-24-189
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-194,35-24L009-35-24-194
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-187,,35-24L009-35-24-187
21,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-188,,35-24L009-35-24-188
22,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-186,,35-24L009-35-24-186
23,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
24,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
25,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24P519,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
26,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-009.1,,35-24P519-35-24-009.1
27,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,35-24P519-35-24-193
28,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-198,35-24P519-35-24-198
29,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24LV1-674,35-24P519-35-24LV1-674
30,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24LV2-674,35-24P519-35-24LV2-674
31,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-199,35-24P519-35-24-199
32,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,35-24P519-35-24-191
33,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-221,35-24P519-35-24-221
34,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-196,35-24P519-35-24-196
35,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-197,35-24P519-35-24-197
36,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-220,35-24P519-35-24-220
