ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L009,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L009,,35-24L009-35-24L009
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-009.1,,35-24L009-35-24-009.1
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-220,,35-24L009-35-24-220
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,001-100,35-24L009-001-100
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-196,,35-24L009-35-24-196
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,355-250,35-24L009-355-250
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-199,,35-24L009-35-24-199
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,003-15,35-24L009-003-15
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-221,,35-24L009-35-24-221
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,003-50,35-24L009-003-50
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-197,,35-24L009-35-24-197
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,001-80,35-24L009-001-80
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-198,,35-24L009-35-24-198
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,003-50,35-24L009-003-50
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-194,,35-24L009-35-24-194
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,350-200,35-24L009-350-200
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV1-674,,35-24L009-35-24LV1-674
21,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV2-674,,35-24L009-35-24LV2-674
22,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-187,,35-24L009-35-24-187
23,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-188,,35-24L009-35-24-188
24,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-189,,35-24L009-35-24-189
25,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,35-24L009-35-24-191
26,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-192,,35-24L009-35-24-192
27,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,35-24L009-35-24-193
28,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
29,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
30,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24P519,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
31,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P519,,35-24P519-35-24P519
32,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-009.1,,35-24P519-35-24-009.1
33,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,35-24P519-35-24-191
34,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,35-24P519-35-24-193
35,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24LV1-674,35-24P519-35-24LV1-674
36,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24LV2-674,35-24P519-35-24LV2-674
37,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-198,35-24P519-35-24-198
38,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-199,35-24P519-35-24-199
39,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-221,35-24P519-35-24-221
40,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-197,35-24P519-35-24-197
41,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-196,35-24P519-35-24-196
42,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-220,35-24P519-35-24-220
