ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L009,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L009,,35-24L009-35-24L009
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-009.1,,35-24L009-35-24-009.1
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-220,,35-24L009-35-24-220
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-196,,35-24L009-35-24-196
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,35-24L009-35-24-193
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-192,,35-24L009-35-24-192
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,35-24L009-35-24-191
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-199,,35-24L009-35-24-199
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-221,,35-24L009-35-24-221
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-198,,35-24L009-35-24-198
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-197,,35-24L009-35-24-197
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-194,,35-24L009-35-24-194
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV1-674,,35-24L009-35-24LV1-674
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV2-674,,35-24L009-35-24LV2-674
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-187,,35-24L009-35-24-187
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-188,,35-24L009-35-24-188
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-189,,35-24L009-35-24-189
21,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-186,,35-24L009-35-24-186
22,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-190,,35-24L009-35-24-190
23,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
24,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
25,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24P519,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
26,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P519,,35-24P519-35-24P519
27,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-009.1,,35-24P519-35-24-009.1
28,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,35-24P519-35-24-193
29,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,35-24P519-35-24-193
30,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24LV1-674,35-24P519-35-24-193-35-24LV1-6
31,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,35-24P519-35-24-193
32,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24LV2-674,35-24P519-35-24-193-35-24LV2-6
33,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,35-24P519-35-24-193
34,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-198,35-24P519-35-24-193-35-24-198
35,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,35-24P519-35-24-193
36,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-199,35-24P519-35-24-193-35-24-199
37,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,35-24P519-35-24-191
38,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,35-24P519-35-24-191
39,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-221,35-24P519-35-24-191-35-24-221
40,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,35-24P519-35-24-191
41,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-196,35-24P519-35-24-191-35-24-196
42,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,35-24P519-35-24-191
43,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-197,35-24P519-35-24-191-35-24-197
44,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-220,,35-24P519-35-24-220
45,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-192,,35-24P519-35-24-192
