ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L009,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L009,,35-24L009-35-24L009
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-220,,001-100
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-009.1,,35-24L009-35-24-009.1
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-197,,001-80
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-221,,003-50
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-222,,35-24L009-35-24-222
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-186,,35-24L009-35-24-186
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,35-24L009-35-24-193
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV2-674,,35-24L009-35-24LV2-674
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV1-674,,35-24L009-35-24LV1-674
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-188,,35-24L009-35-24-188
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-189,,35-24L009-35-24-189
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-190,,35-24L009-35-24-190
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,35-24L009-35-24-191
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24NV-675,,35-24L009-35-24NV-675
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24HV-676,,35-24L009-35-24HV-676
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-187,,35-24L009-35-24-187
21,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
22,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
23,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24P519,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
24,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P519,,35-24P519-35-24P519
25,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV1-674,,150
26,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV2-674,,80
27,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-198,,35-24P519-35-24-198
28,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-199,,003-15
29,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-221,,003-50
30,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191-PP-250-E10H2A,,35-24P519-35-24-191-PP-250-E10
31,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-196,,355-250
32,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-197,,001-80
33,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193-PP-100-E10H2A,,35-24P519-35-24-193-PP-100-E10
34,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-192-PP-200-E10H2A,,35-24P519-35-24-192-PP-200-E10
