SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK
,,,,SHOTTONPM3-BROKESYSTEM
BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
BR1,35-24L009,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
,,35-24L009,,35-24L009-35-24L009
,,35-24-220,,001-100
,,35-24-009.1,,35-24L009-35-24-009.1
,,35-24-197,,001-80
,,35-24-221,,003-50
,,35-24-222,,35-24L009-35-24-222
,,35-24-186,,35-24L009-35-24-186
,,35-24-193,,35-24L009-35-24-193
,,35-24LV2-674,,35-24L009-35-24LV2-674
,,35-24LV1-674,,35-24L009-35-24LV1-674
,,35-24-188,,35-24L009-35-24-188
,,35-24-189,,35-24L009-35-24-189
,,35-24-190,,35-24L009-35-24-190
,,35-24-191,,35-24L009-35-24-191
,,35-24NV-675,,35-24L009-35-24NV-675
,,35-24HV-676,,35-24L009-35-24HV-676
,,35-24-187,,35-24L009-35-24-187
,,,,SHOTTONPM3-BROKESYSTEM
BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
BR1,35-24P519,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
,,35-24P519,,35-24P519-35-24P519
,,35-24LV1-674,,150
,,35-24LV2-674,,80
,,35-24-198,,35-24P519-35-24-198
,,35-24-199,,003-15
,,35-24-221,,003-50
,,35-24-191-PP-250-E10H2A,,35-24P519-35-24-191-PP-250-E10
,,35-24-196,,355-250
,,35-24-197,,001-80
,,35-24-193-PP-100-E10H2A,,35-24P519-35-24-193-PP-100-E10
,,35-24-192-PP-200-E10H2A,,35-24P519-35-24-192-PP-200-E10
