ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L009,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L009,,35-24L009-35-24L009
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-009.1,35-24L009-35-24-009.1
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-220,35-24L009-35-24-220
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24LV1-674,35-24L009-35-24LV1-674
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24LV2-674,35-24L009-35-24LV2-674
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24XV-681,35-24L009-35-24XV-681
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24NV-675,35-24L009-35-24NV-675
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24HV-676,35-24L009-35-24HV-676
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24KV-677,35-24L009-35-24KV-677
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P519,,35-24L009-35-24P519
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-186-WAF-100-E10H2A,,35-24L009-35-24-186-WAF-100-E1
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-187-WAF-100-E10H2A,,35-24L009-35-24-187-WAF-100-E1
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-188-WAF-80-E10H2A,,35-24L009-35-24-188-WAF-80-E10
