ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L009,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L009,,BROKE ROLL PULPER 141 BDTPD
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-220,,001-100
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV1-674,,150
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV2-674,,80
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-199,,003-15
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-198,,003-50
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-221,,003-50
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-197,,001-80
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,003-50
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-191-PP-250-E10H2A,35-24L009-35-24-191-PP-250-E10
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-009.1,,350-200
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-194,,350-200
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-190,,35-24L009-35-24-190
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-190-PP-200-E10H2A,35-24L009-35-24-190-PP-200-E10
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-192,,35-24L009-35-24-192
