ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L009,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-009.1,,motor / local drive point
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LC-674,,level controller on pulper
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV1-674,,level control valve 1 (150)
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV2-674,,level control valve 2 (80)
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24XS-681,,interlock switch MCS signal
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-186,,WAF-100 wire/broke feed line
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-187,,WAF-100 wire feed line
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-188,,WAF-80 shower line
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-189,,PP-300 discharge line
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-220,gate valve 001-100 on PP-300 d
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-190,,PP-200 discharge line
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-197,valve 001-80 on PP-200 line
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-194,valve 350-200 on PP-200 line
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,PP-250 line
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-196,valve 355-250 on PP-250 line
