SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK
,,,,SHOTTONPM3-BROKESYSTEM
BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
BR1,35-24L009,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
,,35-24-009.1,,motor / local drive point
,,35-24LC-674,,level controller on pulper
,,35-24LV1-674,,level control valve 1 (150)
,,35-24LV2-674,,level control valve 2 (80)
,,35-24XS-681,,interlock switch MCS signal
,,35-24-186,,WAF-100 wire/broke feed line
,,35-24-187,,WAF-100 wire feed line
,,35-24-188,,WAF-80 shower line
,,35-24-189,,PP-300 discharge line
,,,35-24-220,gate valve 001-100 on PP-300 d
,,35-24-190,,PP-200 discharge line
,,,35-24-197,valve 001-80 on PP-200 line
,,,35-24-194,valve 350-200 on PP-200 line
,,35-24-191,,PP-250 line
,,,35-24-196,valve 355-250 on PP-250 line
,,,35-24-221,valve 003-50 on PP-250 line
,,35-24-192,,PP-200 inlet line (magenta)
,,,35-24-198,valve 003-50 on PP-200 inlet
,,35-24-193,,PP-100 inlet line
,,,35-24-199,valve 003-15 on PP-100 inlet
,,35-24L009.1,,35-24L009-35-24L009.1
,,35-24L009.2,,35-24L009-35-24L009.2
,,35-24-009.2,,35-24L009-35-24-009.2
,,,,SHOTTONPM3-BROKESYSTEM
BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
BR1,35-24P519,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
,,35-24P519,,pump self-row; nameplate visib
,,35-24-009.1,,motor tag visible on P&ID at (
,,35-24-191,,suction/discharge line 35-24-1
,,,35-24-196,valve 355-250 on line 35-24-19
,,,35-24-197,valve 001-80 on line 35-24-191
,,,35-24-221,valve 003-50 on line 35-24-191
,,35-24-193,,line 35-24-193-PP-100-E10H2A v
,,,35-24-199,valve 003-15 on line 35-24-193
,,,35-24-220,valve 001-100 on line 35-24-19
,,35-24-192,,line 35-24-192-PP-200-E10H2A v
,,35-24-198,,valve 003-50 visible on P&ID;
,,35-24LV1-674,,control valve 35-24LV1-674 / 1
,,35-24LV2-674,,control valve 35-24LV2-674 / 8
,,35-24LC-674,,LC 674 instrument bubble visib
,,35-24P519.1,,35-24P519-35-24P519.1
,,35-24-519.1,,35-24P519-35-24-519.1
,,35-24P519.2,,35-24P519-35-24P519.2
,,35-24-519.2,,35-24P519-35-24-519.2
,,35-24-190,,35-24P519-35-24-190
,,35-24-194,,35-24P519-35-24-194
