ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L009,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L009,,EQUIPMENT
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-009.1,SUB-EQUIPMENT
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-220,SUB-EQUIPMENT
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,001-100,SUB-EQUIPMENT
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-196,SUB-EQUIPMENT
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,355-250,SUB-EQUIPMENT
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-187,,EQUIPMENT
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-188,,EQUIPMENT
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-189,,EQUIPMENT
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-194,SUB-EQUIPMENT
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,350-200,SUB-EQUIPMENT
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,EQUIPMENT
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-221,SUB-EQUIPMENT
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,003-50,SUB-EQUIPMENT
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,EQUIPMENT
