ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L009,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-186,,35-24-186
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-187,,35-24-187
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-188,,35-24-188
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-204,,35-24-204
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,35-24-193
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-192,,35-24-192
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,35-24-191
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-190,,35-24-190
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-189,,35-24-189
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-001,,35-24-001
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-198,,35-24-198
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-194,,35-24-194
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-196,,35-24-196
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-220,,35-24-220
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-221,,35-24-221
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV1-674,,35-24LV1-674
