ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L009,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-186,,35-24-186
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-187,,35-24-187
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-188,,35-24-188
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-189,,35-24-189
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-190,,35-24-190
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,35-24-191
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-192,,35-24-192
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,35-24-193
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-204,,35-24-204
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-001,,35-24-001
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L009.1,,35-24L009.1
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L009.2,,35-24L009.2
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-009.2,,35-24-009.2
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-220,,35-24-220
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-196,,35-24-196
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-221,,35-24-221
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-199,,35-24-199
21,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-009.1,,35-24-009.1
22,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-197,,35-24-197
23,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-194,,35-24-194
24,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,SHOTTONPM3-BROKESYSTEM
25,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,SHOTTONPM3-BROKESYSTEM-BR1
26,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24P519,,,SHOTTONPM3-BROKESYSTEM-BR1-35-
27,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P519,,35-24P519
28,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-009.1,,35-24-009.1
29,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-191,,35-24-191
30,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-192,,35-24-192
31,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-190,,35-24-190
32,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-193,,35-24-193
33,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-194,,35-24-194
34,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-195,,35-24-195
35,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-189,,35-24-189
36,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-188,,35-24-188
37,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-187,,35-24-187
38,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-214,,35-24-214
39,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-213,,35-24-213
40,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P519.1,,35-24P519.1
41,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-519.1,,35-24-519.1
42,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P519.2,,35-24P519.2
43,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-519.2,,35-24-519.2
44,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-199,,35-24-199
45,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-221,,35-24-221
46,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-197,,35-24-197
47,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-198,,35-24-198
48,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-196,,35-24-196
49,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-220,,35-24-220
