ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24HS-575,,,5001-PM03-BR-BR1-35-24HS-575,35-24HS-575 HND SW
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-089,,,35-24-089 WAF-300 LN
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24HV-575,,35-24HV-575 ISOL VLV AV NC
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-088,,,35-24-088
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-086,,,35-24-086
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-084,,,35-24-084
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-083,,,35-24-083
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-087,,,35-24-087
