ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24P507,,,5001-PM03-BR-BR1-35-24P507,35-24P507 BROKE CONV 3 PMP
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P507.1,,,35-24P507.1 PMP MTR
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-049,,,35-24-049 PP-800 SUCT HDR
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-047,,,35-24-047 PP-150 SUCT LN
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-046,,,35-24-046 PP-250 DIS LN
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FV-550,,35-24FV-550 FL CTRL VLV AV
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-051,,,35-24-051 PP-100 BYP LN
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24HV-548,,35-24HV-548 ISOL VLV AV
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-052,,,35-24-052 WAF-300 LN
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-507.1,,,35-24-507.1
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P507.2,,,35-24P507.2
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-507.2,,,35-24-507.2
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P507.3,,,35-24P507.3
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-507.3,,,35-24-507.3
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P507.4,,,35-24P507.4
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-507.4,,,35-24-507.4
