ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24T602,,,5001-PM03-BR-BR1-35-24T602,35-24T602 BROKE STOR TWR 4000M3
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LI-611,,,35-24LI-611 LVL IND
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24FC-613,,,35-24FC-613 FL CONTROLLER
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-127,,,35-24-127 IN LN PP-800
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24XS-671,,35-24XV-671 ISOL VLV AV
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1129,,35-24-1129 VLV NC
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-069,,35-24-069 VLV HV
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-124,,,35-24-124 WTR LN WAB-20
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-210,,,35-24-210 LN PP-100
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-131,,,35-24-131 OUT LN PP-700
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-135,,,35-24-135 LN PP-400
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-132,,,35-24-132 LN PP-500
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-057,,35-24-057 VLV HV
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-058,,35-24-058 VLV HV
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1132,,35-24-1132 VLV NC
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-133,,,35-24-133 LN PP-500
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1104,,35-24-1104 VLV NC
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1133,,35-24-1133 VLV NC
21,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-130,,,35-24-130 OUT LN PP-200
22,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-056,,35-24-056 VLV HV
23,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-055,,35-24-055 VLV NC
24,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-049,,,35-24-049 VLV HV
25,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-048,,,35-24-048 VLV HV
26,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-051,,,35-24-051 VLV HV
27,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24T602.1,,,35-24T602.1
28,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-602.1,,,35-24-602.1
29,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24T602.2,,,35-24T602.2
30,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-602.2,,,35-24-602.2
31,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24T602.3,,,35-24T602.3
32,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-602.3,,,35-24-602.3
33,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24T602.4,,,35-24T602.4
34,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-602.4,,,35-24-602.4
